caminho	tamanho	hash_md5	logger	extensao	pista	carro	data	sessao	duplicata_de
PIBIC/AARB/SUV_vdd.mf4	333544	a4f2a8e6f342dfd69a4234a2c366212b	ASAM MDF4	mf4					
PIBIC/Inerter/SEMI_ATIVO/SUV_vdd.mf4	3958584	a5e04e86b52efc88add1dbeb25d35c4e	ASAM MDF4	mf4					
_INBOX/SSD_Antigo_vitor/Desktop/Porsche/LapSim_153557.csv	264465	f58be10c16063a9d119a7c2fb8d0b1c1	Simulador	csv		Porsche			
_INBOX/SSD_Antigo_vitor/Desktop/Porsche/CopaTruck_Sim_105747.csv	226207	f975b7a76119fca36b77aa921181547c	Simulador	csv		Porsche			
PIBIC/AARB/simulacoes/vi_crt/FFHOOK.mf4	6569116	81572de8ff5f793dc9fa8fcd3143f44a	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/fshk.mf4	6569116	625407580d66dc51d4c45705935b15da	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/jturn.mf4	8266032	885f7bcc1b25b7d16f79d32eb873b5ec	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SedanCar_vdd.mf4	9830236	e619e54b439ea016c5645de6030fc269	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/FISHOOK.mf4	6569116	44225242e8166c0091b8d7b9e2fe92a1	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SedanCar_fshk.mf4	6379516	56a6f3f0291f6442bbd74df17cc97c63	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SUV_fshk.mf4	5694264	fa753191c3140c8ef153bc7760580d63	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SedanCar_fshk_copy.mf4	6332112	98abf528d4464fcc7f79c86972c66e08	ASAM MDF4	mf4					
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0043.xrz	52693	4d1d288999ef34bff5a46b09fde03d19	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0045.xrz	67622	4cdcb9d629baba0870b9f68ea9c483bd	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0043.xrk	122136	d7cd6815552825b6381f8f82590a712c	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0044.xrz	51701	d99d522f79ebb5ff2a413a60262026d9	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0046.xrk	345352	a8ef7fa859162a16905c1461aaa63821	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0044.xrk	120154	400ec6ebc4e0b946460553ff1adb5c86	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0045.xrk	158975	308d689e62babf427e7237de69b33e88	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0046.xrz	152698	aa875c47e3a5bb2264d1de1f2e506fb7	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0064.xrz	1853504	c282e0bd1868090704dc502e5b007485	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0064.xrk	4021682	c482afbff591a8d943ced682f2af4876	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0065.xrz	819542	77263c605f08c8f61e90fac53e971a94	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0065.xrk	1800570	807a2967abe5634e24c2ab56d37cbbcc	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0068.xrz	786231	dace393ef9b4a20a791e36c98bf5cb88	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0068.xrk	1717823	507639133ee21b0d25513624be350a2d	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0069.xrk	4502663	6744841c2341fea78a779b6f29d7e0fd	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0069.xrz	2077916	04819154c8d077847f21d015561a617f	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0072.xrz	2284228	7ed069e390e3d739b5d429128086636c	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0072.xrk	4930557	79372bf9457b6604a7577bcac0a2e941	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0041.xrk	134426	2f1539ae0550f7131eb354d8110297ca	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0041.xrz	58516	90c27573933a1db728a3a64efc129f63	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0042.xrz	1144586	5f5790122860473ee99904568c5a87f3	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0042.xrk	2509791	9c3c838eb1164e9697d86b91ac987805	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Miguel Pantazis_Ferrari 296 GTB_Braslia novo_Testes genéricos_a_0008.xrk	5462230	5f8788cb94062368b6195821c26ccd2e	AiM	xrk	Braslia novo	Ferrari 296 GTB		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Miguel Pantazis_Ferrari 296 GTB_Braslia novo_Testes genéricos_a_0008.xrz	2492489	469192ff7a8720a740343e25ee4ea0dd	AiM	xrz	Braslia novo	Ferrari 296 GTB		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_McLaren 750s_Braslia novo_Testes genéricos_a_0040.xrz	1252725	4ea85355356f00e35f8555c3c4f309cb	AiM	xrz	Braslia novo	McLaren 750s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_McLaren 750s_Braslia novo_Testes genéricos_a_0040.xrk	2741219	0d0d12aaed548c63f809529c67e31f5e	AiM	xrk	Braslia novo	McLaren 750s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/William_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2281.xrz	930175	707aabafc10f301307cbc7c6f7d13a3e	AiM	xrz	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/William_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2281.xrk	1876502	21c0981ae95686c3fe4dab0f507108b1	AiM	xrk	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2283.xrz	1364927	9ca2d4b843f12f57d447172652f10e41	AiM	xrz	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2283.xrk	2734560	a195f9fd0d384ea80b5ce2104229381c	AiM	xrk	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/André Gomide_Porsche 911 turbo S_NelsonPiquet_Testes genéricos_a_2279.xrz	3047573	7570e8fc954b01da1d22ec314ae2e65e	AiM	xrz	NelsonPiquet	Porsche 911 turbo S		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/André Gomide_Porsche 911 turbo S_NelsonPiquet_Testes genéricos_a_2279.xrk	6426989	5974d2e50479adbd75fcb452e1cf8b47	AiM	xrk	NelsonPiquet	Porsche 911 turbo S		Testes genéricos	
Trabalho/Telemetria/Motos_2021-2024/Juan Vieira_11_Goiania_Qualifying testing_a_0392.xrk	5343039	99f4536f1cdd50afd89596d539829ddd	AiM	xrk	Goiania	11		Qualifying testing	
Trabalho/Telemetria/Motos_2021-2024/Gustavo Manso_88 _Curitiba PA_Generic testing_a_0748.xrk	4188617	cf858f115e524fc265a420c62240386f	AiM	xrk	Curitiba PA	88		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/7CAUARODRIGUES1TREINO_Goiania_Generic testing_a_0001.xrk	2680809	260247f2080c6bca5ed6d3f1636dce2b	AiM	xrk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/Gonzalo Augusto_23 Yamaha R3_Curvelo_Generic testing_a_0036.rrk	3166080	f08d3fa419cfecd855295b4e4c9844e9	AiM	rrk	Curvelo	23 Yamaha R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/23_GONZALO AUGUSTO_Goiania_Generic testing_a_0268.gpk	5140608	3f2bab7a0549aeaeda7c909cd9e65a55	AiM	gpk	Goiania	GONZALO AUGUSTO		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/ALEX BARBOSA_S1000 RR_Curitiba PA_Generic testing_a_0019.xrk	3736428	fe330384d1940156af79cc5539e306f6	AiM	xrk	Curitiba PA	S1000 RR		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Superpole_20220805_133034.xrk	5005936	d9293655490255ec3cf34644d20a5b74	AiM	xrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Gustavo Manso_88 Yamaha R3_Curvelo_Generic testing_a_0738.gpk	3164352	86872916452ffd1f8360075ff934c295	AiM	gpk	Curvelo	88 Yamaha R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_153444.xrz	1490944	435a4153090c15c605508081fcbfd967	AiM	xrz			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Superpole_20220805_133034.rrk	3802560	c5305c9c64df7f5cc3e4093d1427a309	AiM	rrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_153444.xrk	3091079	56fdc621bd82ca8180c915b640cb1a83	AiM	xrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/88 manso_YAMAHA R3_Goiania_Generic testing_a_0612.xrk	7383541	88abd2fc46169eacdb70c1f79408ca19	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Breno 44_Superpole_20220805_130456.gpk	4423776	2d0c57ef2df3d0525fefc92e847955a1	AiM	gpk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Superpole_20220805_133034.gpk	17110752	53e9adcece5b755b6f332800fd4172b8	AiM	gpk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/41-MIGUEL HENRIQUE_YAMAHA R3_Goiania_Generic testing_a_0332.gpk	5754048	6e2db4b482f9fb531af4a92ec4be0860	AiM	gpk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Joao Fascineli_13 Yamaha R3_Curvelo_Generic testing_a_0176.xrk	4158490	87c493d34b883b68887b83dad3cb3eec	AiM	xrk	Curvelo	13 Yamaha R3		Generic testing	
