sessao	canal	hz	escala_cabecalho	fator	offset	r	resid_max	n
P.Piquet000000	Speed	50	10.0	0.1	-1.327e-07	1.00000	1.25e-05	32050
P.Piquet000000	RPM	50	1.0	1	-8.456e-13	1.00000	3.64e-12	32050
P.Piquet000000	Throttle Position	25	0.0	0.1	-2.1951e-09	1.00000	3.06e-06	16025
P.Piquet000000	QmDistance	50	0.0	0.01	-6.8488e-06	1.00000	0.000951	31792
P.Piquet000000	Acc Long	50	0.0	-0.0258478	12.955	-0.99998	0.0165	32050
P.Piquet000000	Acc Lat	50	0.0	-0.0262118	12.454	-0.99999	0.0357	32050
P.Piquet000000	Brake Press F	50	0.0	0.199645	-41.327	1.00000	3.73e-06	32050
P.Piquet000000	Brake Press R	50	0.0	0.199645	-41.127	1.00000	0.2	32050
P.Piquet000000	Steering	100	0.09775171065493646	0.0977517	-40.469	1.00000	1.96e-06	63459
P.Piquet000000	Damper FL	100	-0.04887585532746823	-0.0488759	5.132	-1.00000	4.74e-07	63459
P.Piquet000000	Damper FR	100	-0.04887585532746823	-0.0488759	3.9101	-1.00000	4.76e-07	63459
P.Piquet000000	Damper RL	100	-0.04887585532746823	-0.0488759	9.5308	-1.00000	4.73e-07	63459
P.Piquet000000	Damper RR	100	-0.04887585532746823	-0.0488759	11.095	-1.00000	4.25e-07	63459
P.Piquet000000	Lap Number	1	1.0	1	1.301e-16	1.00000	2.22e-16	641
P.Piquet000000	Running Lap Time	1	0.0	0.001	-2.7663e-07	1.00000	4.06e-06	641
P.Piquet000000	Beacon Code	50	1.0	1	2.9875e-13	1.00000	3.49e-10	32050
P.Piquet000000	Water Temp	10	0.0	0.1	7.9569e-07	1.00000	3.74e-06	6410
P.Piquet000000	Oil Pressure	1	0.0	const				641
P.Piquet000000	Battery Voltage	20	0.1	0.1	0.00018026	1.00000	5.34e-05	12820
P.Piquet000000	Lambda	20	2048.0	2048	1.3078e-09	1.00000	6.52e-09	12820
P.Piquet000000	Fuel Pressure	50	0.0	const				32050
P.Piquet000000	Speed ECU	20	1.0	const				12820
P.Piquet000000	WS_FL	50	10.0	0.1	-1.1927e-07	1.00000	1.25e-05	32050
P.Piquet000000	WS_FR	50	10.0	0.1	-1.0818e-07	1.00000	6.32e-06	32050
P.Piquet000001	Speed	50	10.0	0.1	-3.7789e-08	1.00000	1.24e-05	24350
P.Piquet000001	RPM	50	1.0	1	7.2028e-13	1.00000	4.55e-12	24350
P.Piquet000001	Throttle Position	25	0.0	0.1	3.2413e-09	1.00000	3.06e-06	12175
P.Piquet000001	QmDistance	50	0.0	0.01	-1.3026e-06	1.00000	0.00094	24041
P.Piquet000001	Acc Long	50	0.0	-0.0258572	12.958	-0.99997	0.0166	24350
P.Piquet000001	Acc Lat	50	0.0	-0.0261928	12.446	-0.99998	0.0338	24350
P.Piquet000001	Brake Press F	50	0.0	0.199645	-41.327	1.00000	3.54e-06	24350
P.Piquet000001	Brake Press R	50	0.0	0.199645	-41.127	1.00000	1.99e-06	24350
P.Piquet000001	Steering	100	0.09775171065493646	0.0977517	-40.469	1.00000	1.92e-06	48213
P.Piquet000001	Damper FL	100	-0.04887585532746823	-0.0488759	5.132	-1.00000	4.73e-07	48213
P.Piquet000001	Damper FR	100	-0.04887585532746823	-0.0488759	3.9101	-1.00000	4.8e-07	48213
P.Piquet000001	Damper RL	100	-0.04887585532746823	-0.0488759	9.5308	-1.00000	4.78e-07	48213
P.Piquet000001	Damper RR	100	-0.04887585532746823	-0.0488759	11.095	-1.00000	3.54e-07	48213
P.Piquet000001	Lap Number	1	1.0	1	-6.212e-16	1.00000	8.88e-16	487
P.Piquet000001	Running Lap Time	1	0.0	0.001	-2.7824e-07	1.00000	3e-06	487
P.Piquet000001	Beacon Code	50	1.0	1	3.1221e-12	1.00000	1.09e-10	24350
P.Piquet000001	Water Temp	10	0.0	0.1	1.6548e-06	1.00000	4.19e-06	4870
P.Piquet000001	Oil Pressure	1	0.0	const				487
P.Piquet000001	Battery Voltage	20	0.1	0.1	-0.00013982	1.00000	5.07e-05	9740
P.Piquet000001	Lambda	20	2048.0	2048	-4.0934e-10	1.00000	4.66e-10	9740
P.Piquet000001	Fuel Pressure	50	0.0	const				24350
P.Piquet000001	Speed ECU	20	1.0	const				9740
P.Piquet000001	WS_FL	50	10.0	0.1	-1.0379e-07	1.00000	1.24e-05	24350
P.Piquet000001	WS_FR	50	10.0	0.1	-5.4502e-08	1.00000	1.2e-05	24350
P.Piquet000974	Speed	50	10.0	const				22200
P.Piquet000974	RPM	50	1.0	1	-4.0842e-13	1.00000	1.59e-12	22200
P.Piquet000974	Throttle Position	25	0.0	0.1	-7.9333e-08	1.00000	3.05e-07	11100
P.Piquet000974	QmDistance	50	0.0	const				0
P.Piquet000974	Acc Long	50	0.0	-0.025641	12.846	-1.00000	1.78e-14	22200
P.Piquet000974	Acc Lat	50	0.0	-0.0263158	12.5	-1.00000	3.67e-09	22200
P.Piquet000974	Brake Press F	50	0.0	const				22200
P.Piquet000974	Brake Press R	50	0.0	0.199645	-41.127	1.00000	3.69e-13	22200
P.Piquet000974	Steering	100	0.09775171065493646	0.0977517	-40.469	1.00000	1.58e-07	43956
P.Piquet000974	Damper FL	100	-0.04887585532746823	-0.0488759	5.132	-1.00000	1.95e-07	43956
P.Piquet000974	Damper FR	100	-0.04887585532746823	-0.0488759	3.9101	-1.00000	6.8e-08	43956
P.Piquet000974	Damper RL	100	-0.04887585532746823	-0.0488759	9.5308	-1.00000	6.25e-07	43956
P.Piquet000974	Damper RR	100	-0.04887585532746823	-0.0488759	11.095	-1.00000	4.89e-07	43956
P.Piquet000974	Lap Number	1	1.0	const				444
P.Piquet000974	Running Lap Time	1	0.0	0.001	-4.7457e-06	1.00000	9.38e-06	444
P.Piquet000974	Beacon Code	50	1.0	1	3.2684e-10	1.00000	4.87e-10	22200
P.Piquet000974	Water Temp	10	0.0	0.1	6.9678e-08	1.00000	1.64e-06	4440
P.Piquet000974	Oil Pressure	1	0.0	const				444
P.Piquet000974	Battery Voltage	20	0.1	0.1	-9.8095e-06	1.00000	4.92e-05	8880
P.Piquet000974	Lambda	20	2048.0	2048	-4.6213e-09	1.00000	1.86e-09	8880
P.Piquet000974	Fuel Pressure	50	0.0	const				22200
P.Piquet000974	Speed ECU	20	1.0	const				8880
P.Piquet000974	WS_FL	50	10.0	const				22200
P.Piquet000974	WS_FR	50	10.0	const				22200
P.Piquet000975	Speed	50	10.0	const				7550
P.Piquet000975	RPM	50	1.0	1	1.5384e-13	1.00000	4.55e-12	7550
P.Piquet000975	Throttle Position	25	0.0	0.1	1.0919e-08	1.00000	5.42e-07	3775
P.Piquet000975	QmDistance	50	0.0	const				0
P.Piquet000975	Acc Long	50	0.0	-0.025641	12.846	-1.00000	1.12e-13	7550
P.Piquet000975	Acc Lat	50	0.0	-0.0263158	12.5	-1.00000	1.3e-13	7550
P.Piquet000975	Brake Press F	50	0.0	const				7550
P.Piquet000975	Brake Press R	50	0.0	0.199645	-41.127	1.00000	2.91e-13	7550
P.Piquet000975	Steering	100	0.09775171065493646	0.0977517	-40.469	1.00000	3.55e-14	14949
P.Piquet000975	Damper FL	100	-0.04887585532746823	-0.0488758	5.132	-1.00000	3.55e-15	14949
P.Piquet000975	Damper FR	100	-0.04887585532746823	-0.0488759	3.9101	-1.00000	6.47e-08	14949
P.Piquet000975	Damper RL	100	-0.04887585532746823	-0.0488758	9.5308	-1.00000	1.23e-07	14949
P.Piquet000975	Damper RR	100	-0.04887585532746823	-0.0488759	11.095	-1.00000	2.91e-07	14949
P.Piquet000975	Lap Number	1	1.0	const				151
